stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
9,9,W Montgomery Rd @ N Shepherd Dr,W MONTGOMERY RD & N SHEPHERD DR,29.850005,-95.412569,,,,,,0
17,17,Lawn St @ Fortune,LAWN ST & FORTUNE ST,29.873446,-95.417372,,,,,,0
19,19,Ringold St @ De Priest Dr,RINGOLD ST & DE PRIEST ST,29.874392,-95.421103,,,,,,0
33,33,W Montgomery Rd @ McCrarey Dr,W MONTGOMERY RD & MC CRAREY DR,29.887479,-95.453293,,,,,,0
61,61,Main St @ Dryden Rd,MAIN ST & DRYDEN RD,29.710571,-95.401783,,,,,,0
64,64,Maxey Road Park & Ride,MAXEY RD,29.784356,-95.217505,,,,,,1
66,66,Westwood Park & Ride,SOUTHWEST FREEWAY,29.672177,-95.54828,,,,,,1
67,67,Greenspoint TC,GREENSPOINT DR,29.948593,-95.410372,,,,,,1
68,68,Acres Homes Transit Center,W MONTGOMERY RD,29.864924,-95.430979,,,,,,1
69,69,Fifth Ward/Denver Harbor Transit Center,LOCKWOOD DR,29.77535,-95.315375,,,,,,1
71,71,Hillcroft TC,HILLCROFT PR,29.722577,-95.495879,,,,,,0
72,72,Southeast Transit Center,SCOTTCREST DR,29.701387,-95.357172,,,,,,1
73,73,Hiram Clarke Transit Center,HIRAMCLARKETC,29.613892,-95.43185,,,,,,1
74,74,Bellaire Transit Center,BELLAIRE BLVD,29.705711,-95.468828,,,,,,1
75,75,Eastwood Transit Center,EASTWOOD TC,29.728231,-95.335165,,,,,,1
76,76,Kashmere Transit Center,KELLEY ST,29.814114,-95.327869,,,,,,1
77,77,Magnolia Transit Center,HARRISBURG BLVD,29.735182,-95.303042,,,,,,1
78,78,Mesa Transit Center,MESA DR,29.849775,-95.264267,,,,,,1
79,79,Northwest Transit Center - Platform 2,OLD KATY RD,29.783072,-95.455458,,,,,,1
80,80,Tidwell Transit Center,EPSOM RD,29.85163,-95.337046,,,,,,1
81,81,Fuqua Park & Ride,SABO RD,29.609886,-95.21693,,,,,,1
82,82,Monroe Park & Ride,MONROE PR,29.66395,-95.254618,,,,,,1
83,83,North Shepherd Park & Ride,SHEPHERD DR,29.876016,-95.414097,,,,,,1
84,84,Spring Park & Ride,CARLSWAY RD,30.022103,-95.417595,,,,,,1
85,85,Gessner Park & Ride,WESTPARK DR,29.720336,-95.537158,,,,,,1
86,86,Kingsland Park & Ride,KINGSLAND BLVD,29.774021,-95.744426,,,,,,1
87,87,El Franco Lee Clinic,EL FRANCO LEE DR & GLENWOLDE DR,29.679669,-95.573007,,,,,,0
88,88,Addicks Park & Ride,PARK ROW RD,29.787456,-95.638333,,,,,,1
89,89,Bay Area Park & Ride,BAY AREA BLVD,29.552892,-95.124068,,,,,,1
90,90,Eastex Park & Ride,OLD HUMBLE RD,29.927799,-95.298148,,,,,,1
91,91,Kingwood Park & Ride,LAKE HOUSTON PKWY,30.054341,-95.183067,,,,,,1
92,92,Kuykendahl Park & Ride,KUYKENDAHL RD,29.973646,-95.425368,,,,,,1
93,93,West Little York Park & Ride,HEMPSTEAD RD,29.869782,-95.553165,,,,,,1
94,94,Mission Bend TC,MISSION BEND PR,29.711374,-95.62941,,,,,,1
95,95,Northwest Station Park & Ride,NORTHWEST FREEWAY,29.902195,-95.594044,,,,,,1
97,97,Fondren Transit Center,FONDREN RD,29.621839,-95.50714,,,,,,1
98,98,Seton Lake Park & Ride,SETON LAKE DR,29.927812,-95.499306,,,,,,1
99,99,West Bellfort Park & Ride,ROARK RD,29.655206,-95.559837,,,,,,1
100,100,West Loop Transit Center,W LOOP S,29.679521,-95.45719,,,,,,1
101,101,Memorial Dr @ Greenbay St,MEMORIAL DR & GREENBAY,29.762478,-95.506399,,,,,,0
102,102,Ranchester Dr @ Town Park Dr Mb,RANCHESTER DR & TOWN PARK DR,29.71465,-95.547502,,,,,,0
103,103,Ranchester Dr @ Harwin Dr Mb,RANCHESTER DR & HARWIN DR,29.714575,-95.547666,,,,,,0
104,104,S Gessner Rd @ Hendon Ln,S GESSNER RD & HENDON LN,29.694198,-95.53701,,,,,,0
105,105,Plazamericas,BELLAIRE BLVD & SOUTHWEST FREEWAY,29.705263,-95.515627,,,,,,0
106,106,Hillcroft Ave @ Southwest Freeway,HILLCROFT AVE & SOUTHWEST FREEWAY,29.717343,-95.500073,,,,,,0
107,107,S Rice Ave @ Westpark Dr,S RICE AVE & WESTPARK DR,29.725076,-95.46826,,,,,,0
108,108,Silber Rd @ Shavelson St,SILBER RD & SHAVELSON ST,29.786884,-95.467915,,,,,,0
109,109,Silber Rd @ Hartland St,SILBER RD & HARTLAND ST,29.788779,-95.467961,,,,,,0
110,110,Silber Rd @ Hartland St,SILBER RD & HARTLAND ST,29.791184,-95.468,,,,,,0
111,111,Silber Rd @ Rolla St,SILBER RD & ROLLA ST,29.792729,-95.468048,,,,,,0
112,112,Silber Rd @ Rolla St,SILBER RD & ROLLA ST,29.792878,-95.468191,,,,,,0
113,113,Silber Rd @ Rolla St Mb,SILBER RD & ROLLA ST,29.791062,-95.468186,,,,,,0
114,114,Silber Rd @ Hartland St,SILBER RD & HARTLAND ST,29.788777,-95.468164,,,,,,0
115,115,Silber Rd @ Shavelson St,SILBER RD & SHAVELSON ST,29.786425,-95.468131,,,,,,0
120,120,Fournace Pl @ Anderson St,FOURNACE PL & ANDERSON ST,29.716682,-95.463875,,,,,,0
121,121,Braeswood Blvd @ S Gessner Rd Mb,BRAESWOOD BLVD & S GESSNER RD,29.67145,-95.529695,,,,,,0
122,122,W Gray St @ Waugh Dr,W GRAY ST & WAUGH DR,29.753146,-95.398286,,,,,,0
127,127,Westheimer Rd @ W Loop S,WESTHEIMER RD & W LOOP S,29.741033,-95.456859,,,,,,0
128,128,Westheimer Rd @ Eastgrove Ln,WESTHEIMER RD & EASTGROVE LN,29.741559,-95.438683,,,,,,0
129,129,Westheimer Rd @ Buffalo Speedway,WESTHEIMER RD & BUFFALO SPEEDWAY,29.741982,-95.430283,,,,,,0
133,133,S Post Oak Ln @ Westbriar Ln,S POST OAK LN & WESTBRIAR LN,29.751486,-95.46292,,,,,,0
134,134,N Post Oak Rd @ Memorial Dr,N POST OAK RD & MEMORIAL DR,29.773925,-95.456457,,,,,,0
137,137,N Post Oak Rd @ Oakford Dr Mb,N POST OAK RD & OAKFORD DR,29.780041,-95.456548,,,,,,0
138,138,Westheimer Rd @ Crescent Park Dr,WESTHEIMER RD & CRESCENT PARK DR,29.736384,-95.585709,,,,,,0
141,141,Memorial Dr @ Wilcrest Dr,MEMORIAL DR & N WILCREST DR,29.772789,-95.580132,,,,,,0
142,142,Cavalcade St @ Russell St,CAVALCADE ST & RUSSELL ST,29.800041,-95.332696,,,,,,0
